Date,Year,Daily.Count
12-Jun,2012,1633
13-Jun,2012,687
14-Jun,2012,532
15-Jun,2012,2183
16-Jun,2012,3062
17-Jun,2012,1724
18-Jun,2012,1515
19-Jun,2012,2241
20-Jun,2012,6421
21-Jun,2012,3548
22-Jun,2012,1839
23-Jun,2012,1883
24-Jun,2012,4100
25-Jun,2012,5823
26-Jun,2012,1780
27-Jun,2012,3730
28-Jun,2012,5080
29-Jun,2012,2784
30-Jun,2012,6529
1-Jul,2012,1942
2-Jul,2012,4539
3-Jul,2012,5765
4-Jul,2012,9600
5-Jul,2012,6133
6-Jul,2012,8491
7-Jul,2012,6098
8-Jul,2012,3978
9-Jul,2012,6335
10-Jul,2012,3582
11-Jul,2012,5362
12-Jul,2012,4630
13-Jul,2012,1602
14-Jul,2012,2535
15-Jul,2012,1211
16-Jul,2012,587
17-Jul,2012,1082
18-Jul,2012,1337
19-Jul,2012,1365
20-Jul,2012,1051
21-Jul,2012,769
22-Jul,2012,1665
23-Jul,2012,967
24-Jul,2012,1421
25-Jul,2012,807
26-Jul,2012,851
27-Jul,2012,617
28-Jul,2012,648
29-Jul,2012,524
30-Jul,2012,523
31-Jul,2012,209
1-Aug,2012,334
2-Aug,2012,459
3-Aug,2012,398
4-Aug,2012,316
5-Aug,2012,164
6-Aug,2012,65
7-Aug,2012,26
8-Aug,2012,164
9-Aug,2012,94
10-Aug,2012,81
11-Aug,2012,48
12-Aug,2012,26
13-Aug,2012,33
14-Aug,2012,20
15-Aug,2012,7
16-Aug,2012,26
17-Aug,2012,20
18-Aug,2012,26
19-Aug,2012,59
20-Aug,2012,26
21-Aug,2012,26
22-Aug,2012,26
23-Aug,2012,20
24-Aug,2012,0
25-Aug,2012,7
26-Aug,2012,13
27-Aug,2012,7
28-Aug,2012,7
29-Aug,2012,0
30-Aug,2012,0
31-Aug,2012,0
1-Sep,2012,0
2-Sep,2012,0
3-Sep,2012,0
4-Sep,2012,0
5-Sep,2012,0
6-Sep,2012,0
7-Sep,2012,0
8-Sep,2012,0
9-Sep,2012,0
10-Sep,2012,0
11-Sep,2012,0
