Date,DayofYear,ChinookCatch,CohoCatch,SockeyeCatch,SteelheadCatch,ChumCatch,PinksCatch
1/1/2023,1,NA,NA,NA,NA,NA,NA
1/2/2023,2,NA,NA,NA,NA,NA,NA
1/3/2023,3,NA,NA,NA,NA,NA,NA
1/4/2023,4,NA,NA,NA,NA,NA,NA
1/5/2023,5,NA,NA,NA,NA,NA,NA
1/6/2023,6,NA,NA,NA,NA,NA,NA
1/7/2023,7,NA,NA,NA,NA,NA,NA
1/8/2023,8,NA,NA,NA,NA,NA,NA
1/9/2023,9,NA,NA,NA,NA,NA,NA
1/10/2023,10,NA,NA,NA,NA,NA,NA
1/11/2023,11,NA,NA,NA,NA,NA,NA
1/12/2023,12,NA,NA,NA,NA,NA,NA
1/13/2023,13,NA,NA,NA,NA,NA,NA
1/14/2023,14,NA,NA,NA,NA,NA,NA
1/15/2023,15,NA,NA,NA,NA,NA,NA
1/16/2023,16,NA,NA,NA,NA,NA,NA
1/17/2023,17,NA,NA,NA,NA,NA,NA
1/18/2023,18,NA,NA,NA,NA,NA,NA
1/19/2023,19,NA,NA,NA,NA,NA,NA
1/20/2023,20,NA,NA,NA,NA,NA,NA
1/21/2023,21,NA,NA,NA,NA,NA,NA
1/22/2023,22,NA,NA,NA,NA,NA,NA
1/23/2023,23,NA,NA,NA,NA,NA,NA
1/24/2023,24,NA,NA,NA,NA,NA,NA
1/25/2023,25,NA,NA,NA,NA,NA,NA
1/26/2023,26,NA,NA,NA,NA,NA,NA
1/27/2023,27,NA,NA,NA,NA,NA,NA
1/28/2023,28,NA,NA,NA,NA,NA,NA
1/29/2023,29,NA,NA,NA,NA,NA,NA
1/30/2023,30,NA,NA,NA,NA,NA,NA
1/31/2023,31,NA,NA,NA,NA,NA,NA
2/1/2023,32,NA,NA,NA,NA,NA,NA
2/2/2023,33,NA,NA,NA,NA,NA,NA
2/3/2023,34,NA,NA,NA,NA,NA,NA
2/4/2023,35,NA,NA,NA,NA,NA,NA
2/5/2023,36,NA,NA,NA,NA,NA,NA
2/6/2023,37,NA,NA,NA,NA,NA,NA
2/7/2023,38,NA,NA,NA,NA,NA,NA
2/8/2023,39,NA,NA,NA,NA,NA,NA
2/9/2023,40,NA,NA,NA,NA,NA,NA
2/10/2023,41,NA,NA,NA,NA,NA,NA
2/11/2023,42,NA,NA,NA,NA,NA,NA
2/12/2023,43,NA,NA,NA,NA,NA,NA
2/13/2023,44,NA,NA,NA,NA,NA,NA
2/14/2023,45,NA,NA,NA,NA,NA,NA
2/15/2023,46,NA,NA,NA,NA,NA,NA
2/16/2023,47,NA,NA,NA,NA,NA,NA
2/17/2023,48,NA,NA,NA,NA,NA,NA
2/18/2023,49,NA,NA,NA,NA,NA,NA
2/19/2023,50,NA,NA,NA,NA,NA,NA
2/20/2023,51,NA,NA,NA,NA,NA,NA
2/21/2023,52,NA,NA,NA,NA,NA,NA
2/22/2023,53,NA,NA,NA,NA,NA,NA
2/23/2023,54,NA,NA,NA,NA,NA,NA
2/24/2023,55,NA,NA,NA,NA,NA,NA
2/25/2023,56,NA,NA,NA,NA,NA,NA
2/26/2023,57,NA,NA,NA,NA,NA,NA
2/27/2023,58,NA,NA,NA,NA,NA,NA
2/28/2023,59,NA,NA,NA,NA,NA,NA
3/1/2023,60,NA,NA,NA,NA,NA,NA
3/2/2023,61,NA,NA,NA,NA,NA,NA
3/3/2023,62,NA,NA,NA,NA,NA,NA
3/4/2023,63,NA,NA,NA,NA,NA,NA
3/5/2023,64,NA,NA,NA,NA,NA,NA
3/6/2023,65,NA,NA,NA,NA,NA,NA
3/7/2023,66,NA,NA,NA,NA,NA,NA
3/8/2023,67,NA,NA,NA,NA,NA,NA
3/9/2023,68,NA,NA,NA,NA,NA,NA
3/10/2023,69,NA,NA,NA,NA,NA,NA
3/11/2023,70,NA,NA,NA,NA,NA,NA
3/12/2023,71,NA,NA,NA,NA,NA,NA
3/13/2023,72,NA,NA,NA,NA,NA,NA
3/14/2023,73,NA,NA,NA,NA,NA,NA
3/15/2023,74,NA,NA,NA,NA,NA,NA
3/16/2023,75,NA,NA,NA,NA,NA,NA
3/17/2023,76,NA,NA,NA,NA,NA,NA
3/18/2023,77,NA,NA,NA,NA,NA,NA
3/19/2023,78,NA,NA,NA,NA,NA,NA
3/20/2023,79,NA,NA,NA,NA,NA,NA
3/21/2023,80,NA,NA,NA,NA,NA,NA
3/22/2023,81,NA,NA,NA,NA,NA,NA
3/23/2023,82,NA,NA,NA,NA,NA,NA
3/24/2023,83,NA,NA,NA,NA,NA,NA
3/25/2023,84,NA,NA,NA,NA,NA,NA
3/26/2023,85,NA,NA,NA,NA,NA,NA
3/27/2023,86,NA,NA,NA,NA,NA,NA
3/28/2023,87,NA,NA,NA,NA,NA,NA
3/29/2023,88,NA,NA,NA,NA,NA,NA
3/30/2023,89,NA,NA,NA,NA,NA,NA
3/31/2023,90,NA,NA,NA,NA,NA,NA
4/1/2023,91,NA,NA,NA,NA,NA,NA
4/2/2023,92,NA,NA,NA,NA,NA,NA
4/3/2023,93,NA,NA,NA,NA,NA,NA
4/4/2023,94,NA,NA,NA,NA,NA,NA
4/5/2023,95,NA,NA,NA,NA,NA,NA
4/6/2023,96,NA,NA,NA,NA,NA,NA
4/7/2023,97,NA,NA,NA,NA,NA,NA
4/8/2023,98,NA,NA,NA,NA,NA,NA
4/9/2023,99,NA,NA,NA,NA,NA,NA
4/10/2023,100,NA,NA,NA,NA,NA,NA
4/11/2023,101,NA,NA,NA,NA,NA,NA
4/12/2023,102,NA,NA,NA,NA,NA,NA
4/13/2023,103,NA,NA,NA,NA,NA,NA
4/14/2023,104,NA,NA,NA,NA,NA,NA
4/15/2023,105,NA,NA,NA,NA,NA,NA
4/16/2023,106,NA,NA,NA,NA,NA,NA
4/17/2023,107,NA,NA,NA,NA,NA,NA
4/18/2023,108,NA,NA,NA,NA,NA,NA
4/19/2023,109,NA,NA,NA,NA,NA,NA
4/20/2023,110,NA,NA,NA,NA,NA,NA
4/21/2023,111,NA,NA,NA,NA,NA,NA
4/22/2023,112,NA,NA,NA,NA,NA,NA
4/23/2023,113,NA,NA,NA,NA,NA,NA
4/24/2023,114,NA,NA,NA,NA,NA,NA
4/25/2023,115,NA,NA,NA,NA,NA,NA
4/26/2023,116,NA,NA,NA,NA,NA,NA
4/27/2023,117,NA,NA,NA,NA,NA,NA
4/28/2023,118,NA,NA,NA,NA,NA,NA
4/29/2023,119,NA,NA,NA,NA,NA,NA
4/30/2023,120,NA,NA,NA,NA,NA,NA
5/1/2023,121,NA,NA,NA,NA,NA,NA
5/2/2023,122,NA,NA,NA,NA,NA,NA
5/3/2023,123,NA,NA,NA,NA,NA,NA
5/4/2023,124,NA,NA,NA,NA,NA,NA
5/5/2023,125,NA,NA,NA,NA,NA,NA
5/6/2023,126,NA,NA,NA,NA,NA,NA
5/7/2023,127,NA,NA,NA,NA,NA,NA
5/8/2023,128,NA,NA,NA,NA,NA,NA
5/9/2023,129,NA,NA,NA,NA,NA,NA
5/10/2023,130,NA,NA,NA,NA,NA,NA
5/11/2023,131,NA,NA,NA,NA,NA,NA
5/12/2023,132,NA,NA,NA,NA,NA,NA
5/13/2023,133,NA,NA,NA,NA,NA,NA
5/14/2023,134,NA,NA,NA,NA,NA,NA
5/15/2023,135,NA,NA,NA,NA,NA,NA
5/16/2023,136,NA,NA,NA,NA,NA,NA
5/17/2023,137,NA,NA,NA,NA,NA,NA
5/18/2023,138,NA,NA,NA,NA,NA,NA
5/19/2023,139,NA,NA,NA,NA,NA,NA
5/20/2023,140,NA,NA,NA,NA,NA,NA
5/21/2023,141,NA,NA,NA,NA,NA,NA
