Date,DayofYear,GreenRiver_per,LocNis_per,Chum_per
1-Jan,1,0,0,0
2-Jan,2,0,0,0
3-Jan,3,0,0,0
4-Jan,4,0,0,0
5-Jan,5,0,0,0
6-Jan,6,0,0,0
7-Jan,7,0,0,0
8-Jan,8,0,0,0
9-Jan,9,0,0,0
10-Jan,10,0,0,0
11-Jan,11,0,0,0
12-Jan,12,0,0,0
13-Jan,13,0,0,0
14-Jan,14,0,0,0
15-Jan,15,0,0,0
16-Jan,16,0,0,0
17-Jan,17,0,0,0
18-Jan,18,0,0,0
19-Jan,19,0,0,0
20-Jan,20,0,0,0
21-Jan,21,0,0,0
22-Jan,22,0,0,0
23-Jan,23,0,0,0
24-Jan,24,0,0,0
25-Jan,25,0,0,0
26-Jan,26,0,0,0
27-Jan,27,0,0,0
28-Jan,28,0,0,0
29-Jan,29,0,0,0
30-Jan,30,0,0,0
31-Jan,31,0,0,0
1-Feb,32,0,0,0
2-Feb,33,0,0,0
3-Feb,34,0,0,0
4-Feb,35,0,0,0
5-Feb,36,0,0,0
6-Feb,37,0,0,0
7-Feb,38,0,0,0
8-Feb,39,0,0,0
9-Feb,40,0,0,0
10-Feb,41,0,0,0
11-Feb,42,0,0,0
12-Feb,43,0,0,0
13-Feb,44,0,0,0
14-Feb,45,0,0,0
15-Feb,46,0,0,0
16-Feb,47,0,0,0
17-Feb,48,0,0,0
18-Feb,49,0,0,0
19-Feb,50,0,0,0
20-Feb,51,0,0,0
21-Feb,52,0,0,0
22-Feb,53,0,0,0
23-Feb,54,0,0,0
24-Feb,55,0,0,0
25-Feb,56,0,0,0
26-Feb,57,0,0,0
27-Feb,58,0,0,0
28-Feb,59,0,0,0
29-Feb,60,0,0,0
1-Mar,61,0,0,0
2-Mar,62,0,0,0
3-Mar,63,0,0,0
4-Mar,64,0,0,0
5-Mar,65,0,0,0
6-Mar,66,0,0,0
7-Mar,67,0,0,0
8-Mar,68,0,0,0
9-Mar,69,0,0,0
10-Mar,70,0,0,0
11-Mar,71,0,0,0
12-Mar,72,0,0,0
13-Mar,73,0,0,0
14-Mar,74,0,0,0
15-Mar,75,0,0,0
16-Mar,76,0,0,0
17-Mar,77,0,0,0
18-Mar,78,0,0,0
19-Mar,79,0,0,0
20-Mar,80,0,0,0
21-Mar,81,0,0,0
22-Mar,82,0,0,0
23-Mar,83,0,0,0
24-Mar,84,0,0,0
25-Mar,85,0,0,0
26-Mar,86,0,0,0
27-Mar,87,0,0,0
28-Mar,88,0,0,0
29-Mar,89,0,0,0
30-Mar,90,0,0,0
31-Mar,91,0,0,0
1-Apr,92,0,0,0
2-Apr,93,0,0,0
3-Apr,94,0,0,0
4-Apr,95,0,0,0
5-Apr,96,0,0,0
6-Apr,97,0,0,0
7-Apr,98,0,0,0
8-Apr,99,0,0,0
9-Apr,100,0,0,0
10-Apr,101,0,0,0
11-Apr,102,0,0,0
12-Apr,103,0,0,0
13-Apr,104,0,0,0
14-Apr,105,0,0,0
15-Apr,106,0,0,0
16-Apr,107,0,0,0
17-Apr,108,0,0,0
18-Apr,109,0,0,0
19-Apr,110,0,0,0
20-Apr,111,0,0,0
21-Apr,112,0,0,0
22-Apr,113,0,0,0
23-Apr,114,0,0,0
24-Apr,115,0,0,0
25-Apr,116,0,0,0
26-Apr,117,0,0,0
27-Apr,118,0,0,0
28-Apr,119,0,0,0
29-Apr,120,0,0,0
30-Apr,121,0,0,0
1-May,122,0,0,0
2-May,123,0,0,0
3-May,124,0,0,0
4-May,125,0,0,0
5-May,126,0,0,0
6-May,127,0,0,0
7-May,128,0,0,0
8-May,129,0,0,0
9-May,130,0,0,0
10-May,131,0,0,0
11-May,132,0,0,0
12-May,133,0,0,0
13-May,134,0,0,0
14-May,135,0,0,0
15-May,136,0,0,0
16-May,137,0,0,0
17-May,138,0,0,0
18-May,139,0,0,0
19-May,140,0,0,0
20-May,141,0,0,0
21-May,142,0,0,0
22-May,143,0,0,0
23-May,144,0,0,0
24-May,145,0,0,0
25-May,146,0,0,0
26-May,147,0,0,0
27-May,148,0,0,0
28-May,149,0,0,0
29-May,150,0,0,0
30-May,151,0,0,0
31-May,152,0,0,0
1-Jun,153,0,0,0
2-Jun,154,0,0,0
3-Jun,155,0,0,0
4-Jun,156,0,0,0
5-Jun,157,0,0,0
6-Jun,158,0,0,0
7-Jun,159,0,0,0
8-Jun,160,0,0,0
9-Jun,161,0,0,0
10-Jun,162,0,0,0
11-Jun,163,0,0,0
12-Jun,164,0,0,0
13-Jun,165,0,0,0
14-Jun,166,0,0,0
15-Jun,167,0,0,0
16-Jun,168,0,0,0
17-Jun,169,0,0,0
18-Jun,170,0,0,0
19-Jun,171,0,0,0
20-Jun,172,0,0,0
21-Jun,173,0,0,0
22-Jun,174,0,0,0
23-Jun,175,0,0,0
24-Jun,176,0,0,0
25-Jun,177,0,0,0
26-Jun,178,0,0,0
27-Jun,179,0,0,0
28-Jun,180,0,0,0
29-Jun,181,0,0,0
30-Jun,182,0,0,0
1-Jul,183,0,0,0
2-Jul,184,0,0,0
3-Jul,185,0,0,0
4-Jul,186,0,0,0
5-Jul,187,0,0,0
6-Jul,188,0,0,0
7-Jul,189,0,0,0
8-Jul,190,0,0,0
9-Jul,191,0,0,0
10-Jul,192,0,0,0
11-Jul,193,0,0,0
12-Jul,194,0,0,0
13-Jul,195,0.0016,0,0
14-Jul,196,0.0016,0,0
15-Jul,197,0.0016,0,0
16-Jul,198,0.0016,0,0
17-Jul,199,0.0016,0,0
18-Jul,200,0.0016,0,0
19-Jul,201,0.0016,0,0
20-Jul,202,0.0019,0,0
21-Jul,203,0.0019,0,0
22-Jul,204,0.0019,0,0
23-Jul,205,0.0019,0,0
24-Jul,206,0.0019,0,0
25-Jul,207,0.0019,0,0
26-Jul,208,0.0019,0,0
27-Jul,209,0.0115,0,0
28-Jul,210,0.0115,0,0
29-Jul,211,0.0115,0,0
30-Jul,212,0.0115,0,0
31-Jul,213,0.0115,0,0
1-Aug,214,0.0115,0,0
2-Aug,215,0.0115,0,0
3-Aug,216,0.0242,0,0
4-Aug,217,0.0242,0,0
5-Aug,218,0.0242,0,0
